"","Name","Party","Rank","VoteCount","VoteShare","Title"
"819","Geraldine Laury","Other Parties","2 of 2","4,889","46.0%","Election Results for 1995 General Election, Alderman, Ward 2, Chicago, IL"
"820","Walter Burnett, Jr.","Other Parties","1 of 2","6,057","59.8%","Election Results for 1995 General Election, Alderman, Ward 27, Chicago, IL"
"821","Wallace Davis, Iii","Other Parties","2 of 2","4,066","40.2%","Election Results for 1995 General Election, Alderman, Ward 27, Chicago, IL"
"822","Sam Burrell","Other Parties","1 of 2","5,361","53.5%","Election Results for 1995 General Election, Alderman, Ward 29, Chicago, IL"
"823","Floyd Thomas","Other Parties","2 of 2","4,662","46.5%","Election Results for 1995 General Election, Alderman, Ward 29, Chicago, IL"
"824","Dorothy J. Tillman","Democratic Party","1 of 2","6,420","65.5%","Election Results for 1995 General Election, Alderman, Ward 3, Chicago, IL"
"825","Wallace Bradley","Other Parties","2 of 2","3,379","34.5%","Election Results for 1995 General Election, Alderman, Ward 3, Chicago, IL"
"826","Michael A. Wojcik","Democratic Party","1 of 2","6,202","51.0%","Election Results for 1995 General Election, Alderman, Ward 30, Chicago, IL"
"827","Carole Bialczak","Other Parties","2 of 2","5,949","49.0%","Election Results for 1995 General Election, Alderman, Ward 30, Chicago, IL"
"828","Vilma Colom","Democratic Party","1 of 2","4,786","59.1%","Election Results for 1995 General Election, Alderman, Ward 35, Chicago, IL"
"829","Louis Lara","Other Parties","2 of 2","3,311","40.9%","Election Results for 1995 General Election, Alderman, Ward 35, Chicago, IL"
"830","Margaret Laurino","Other Parties","1 of 2","6,882","58.0%","Election Results for 1995 General Election, Alderman, Ward 39, Chicago, IL"
"831","Anthony J. Fornelli","Other Parties","2 of 2","4,982","42.0%","Election Results for 1995 General Election, Alderman, Ward 39, Chicago, IL"
"832","Barbara Holt","Other Parties","1 of 2","6,538","51.9%","Election Results for 1995 General Election, Alderman, Ward 5, Chicago, IL"
"833","Janet G. Oliver-hill","Other Parties","2 of 2","6,055","48.1%","Election Results for 1995 General Election, Alderman, Ward 5, Chicago, IL"
"834","Jesse D. Granato","Other Parties","1 of 7","2,111","31.7%","Election Results for 1995 Primary Election, Alderman, Ward 1, Chicago, IL (Non-Partisan Aldermanic Election)"
"835","C. Victoria Almeida","Other Parties","2 of 7","1,776","26.7%","Election Results for 1995 Primary Election, Alderman, Ward 1, Chicago, IL (Non-Partisan Aldermanic Election)"
"836","Roberto Caldero","Other Parties","3 of 7","1,207","18.2%","Election Results for 1995 Primary Election, Alderman, Ward 1, Chicago, IL (Non-Partisan Aldermanic Election)"
"837","Francisco Duprey","Other Parties","4 of 7","922","13.9%","Election Results for 1995 Primary Election, Alderman, Ward 1, Chicago, IL (Non-Partisan Aldermanic Election)"
"838","Tom Hendrix","Other Parties","5 of 7","592","8.9%","Election Results for 1995 Primary Election, Alderman, Ward 1, Chicago, IL (Non-Partisan Aldermanic Election)"
"839","Roberto Garcia","Other Parties","6 of 7","42","0.6%","Election Results for 1995 Primary Election, Alderman, Ward 1, Chicago, IL (Non-Partisan Aldermanic Election)"
"840","No Candidate","Other Parties","7 of 7","0","0.0%","Election Results for 1995 Primary Election, Alderman, Ward 1, Chicago, IL (Non-Partisan Aldermanic Election)"
"841","John J. Buchanan","Democratic Party","1 of 13","5,486","48.4%","Election Results for 1995 Primary Election, Alderman, Ward 10, Chicago, IL (Non-Partisan Aldermanic Election)"
"842","Clem Balanoff","Democratic Party","2 of 13","2,577","22.7%","Election Results for 1995 Primary Election, Alderman, Ward 10, Chicago, IL (Non-Partisan Aldermanic Election)"
"843","Nick Valadez","Other Parties","3 of 13","1,119","9.9%","Election Results for 1995 Primary Election, Alderman, Ward 10, Chicago, IL (Non-Partisan Aldermanic Election)"
"844","Alex Adams","Other Parties","4 of 13","623","5.5%","Election Results for 1995 Primary Election, Alderman, Ward 10, Chicago, IL (Non-Partisan Aldermanic Election)"
"845","Danny Nikolic","Democratic Party","5 of 13","425","3.7%","Election Results for 1995 Primary Election, Alderman, Ward 10, Chicago, IL (Non-Partisan Aldermanic Election)"
"846","Robert J. Cap","Other Parties","6 of 13","280","2.5%","Election Results for 1995 Primary Election, Alderman, Ward 10, Chicago, IL (Non-Partisan Aldermanic Election)"
"847","Carmela Vargas","Other Parties","7 of 13","267","2.4%","Election Results for 1995 Primary Election, Alderman, Ward 10, Chicago, IL (Non-Partisan Aldermanic Election)"
"848","Patrick Carroll","Other Parties","8 of 13","249","2.2%","Election Results for 1995 Primary Election, Alderman, Ward 10, Chicago, IL (Non-Partisan Aldermanic Election)"
"849","Gilbert Ortiz, Jr.","Other Parties","9 of 13","97","0.9%","Election Results for 1995 Primary Election, Alderman, Ward 10, Chicago, IL (Non-Partisan Aldermanic Election)"
"850","Rene R. Hidalgo","Other Parties","10 of 13","91","0.8%","Election Results for 1995 Primary Election, Alderman, Ward 10, Chicago, IL (Non-Partisan Aldermanic Election)"
"851","Thomas M. Malesh","Other Parties","11 of 13","83","0.7%","Election Results for 1995 Primary Election, Alderman, Ward 10, Chicago, IL (Non-Partisan Aldermanic Election)"
"852","Frank Nicholas Tonkovich","Other Parties","12 of 13","40","0.4%","Election Results for 1995 Primary Election, Alderman, Ward 10, Chicago, IL (Non-Partisan Aldermanic Election)"
"853","No Candidate","Other Parties","13 of 13","0","0.0%","Election Results for 1995 Primary Election, Alderman, Ward 10, Chicago, IL (Non-Partisan Aldermanic Election)"
"854","Patrick M. Huels","Democratic Party","1 of 1","13,377","100.0%","Election Results for 1995 Primary Election, Alderman, Ward 11, Chicago, IL (Non-Partisan Aldermanic Election)"
"855","Rafael Frias","Democratic Party","1 of 4","2,982","64.0%","Election Results for 1995 Primary Election, Alderman, Ward 12, Chicago, IL (Non-Partisan Aldermanic Election)"
"856","Frank Cummings","Other Parties","2 of 4","1,251","26.8%","Election Results for 1995 Primary Election, Alderman, Ward 12, Chicago, IL (Non-Partisan Aldermanic Election)"
"857","Leticia Delgadillo","Other Parties","3 of 4","254","5.4%","Election Results for 1995 Primary Election, Alderman, Ward 12, Chicago, IL (Non-Partisan Aldermanic Election)"
"858","Catarino G. Diaz","Other Parties","4 of 4","176","3.8%","Election Results for 1995 Primary Election, Alderman, Ward 12, Chicago, IL (Non-Partisan Aldermanic Election)"
"859","Frank J. Olivo","Other Parties","1 of 1","18,799","100.0%","Election Results for 1995 Primary Election, Alderman, Ward 13, Chicago, IL (Non-Partisan Aldermanic Election)"
"860","Edward M. Burke","Democratic Party","1 of 1","9,816","100.0%","Election Results for 1995 Primary Election, Alderman, Ward 14, Chicago, IL (Non-Partisan Aldermanic Election)"
"861","Virgil E. Jones","Democratic Party","1 of 7","3,285","51.4%","Election Results for 1995 Primary Election, Alderman, Ward 15, Chicago, IL (Non-Partisan Aldermanic Election)"
"862","Dorothy Cooks","Democratic Party","2 of 7","976","15.3%","Election Results for 1995 Primary Election, Alderman, Ward 15, Chicago, IL (Non-Partisan Aldermanic Election)"
"863","Larry Williams","Democratic Party","3 of 7","906","14.2%","Election Results for 1995 Primary Election, Alderman, Ward 15, Chicago, IL (Non-Partisan Aldermanic Election)"
"864","Richard D. Taylor","Democratic Party","4 of 7","601","9.4%","Election Results for 1995 Primary Election, Alderman, Ward 15, Chicago, IL (Non-Partisan Aldermanic Election)"
"865","Bernard C. Robinson, Sr.","Other Parties","5 of 7","427","6.7%","Election Results for 1995 Primary Election, Alderman, Ward 15, Chicago, IL (Non-Partisan Aldermanic Election)"
"866","David Whitehead","Other Parties","6 of 7","197","3.1%","Election Results for 1995 Primary Election, Alderman, Ward 15, Chicago, IL (Non-Partisan Aldermanic Election)"
"867","No Candidate","Other Parties","7 of 7","0","0.0%","Election Results for 1995 Primary Election, Alderman, Ward 15, Chicago, IL (Non-Partisan Aldermanic Election)"
"868","Shirley A. Coleman","Other Parties","1 of 7","2,539","38.3%","Election Results for 1995 Primary Election, Alderman, Ward 16, Chicago, IL (Non-Partisan Aldermanic Election)"
"869","Hal Baskin","Other Parties","2 of 7","1,333","20.1%","Election Results for 1995 Primary Election, Alderman, Ward 16, Chicago, IL (Non-Partisan Aldermanic Election)"
"870","Reginald A. Crosby","Democratic Party","3 of 7","787","11.9%","Election Results for 1995 Primary Election, Alderman, Ward 16, Chicago, IL (Non-Partisan Aldermanic Election)"
"871","Derrick B. Clifton","Other Parties","4 of 7","631","9.5%","Election Results for 1995 Primary Election, Alderman, Ward 16, Chicago, IL (Non-Partisan Aldermanic Election)"
"872","James C. Taylor","Democratic Party","5 of 7","508","7.7%","Election Results for 1995 Primary Election, Alderman, Ward 16, Chicago, IL (Non-Partisan Aldermanic Election)"
"873","Robert Burton","Other Parties","6 of 7","490","7.4%","Election Results for 1995 Primary Election, Alderman, Ward 16, Chicago, IL (Non-Partisan Aldermanic Election)"
"874","John W. Moore","Other Parties","7 of 7","342","5.2%","Election Results for 1995 Primary Election, Alderman, Ward 16, Chicago, IL (Non-Partisan Aldermanic Election)"
"875","Allan Streeter","Democratic Party","1 of 9","4,856","52.6%","Election Results for 1995 Primary Election, Alderman, Ward 17, Chicago, IL (Non-Partisan Aldermanic Election)"
"876","Charles Kelly","Other Parties","2 of 9","1,417","15.3%","Election Results for 1995 Primary Election, Alderman, Ward 17, Chicago, IL (Non-Partisan Aldermanic Election)"
"877","Daniel Robinson, Jr.","Other Parties","3 of 9","939","10.2%","Election Results for 1995 Primary Election, Alderman, Ward 17, Chicago, IL (Non-Partisan Aldermanic Election)"
"878","Ken Bennett","Democratic Party","4 of 9","751","8.1%","Election Results for 1995 Primary Election, Alderman, Ward 17, Chicago, IL (Non-Partisan Aldermanic Election)"
"879","James B. Bolen, Jr.","Other Parties","5 of 9","741","8.0%","Election Results for 1995 Primary Election, Alderman, Ward 17, Chicago, IL (Non-Partisan Aldermanic Election)"
"880","Charles Partlow, Jr.","Other Parties","6 of 9","281","3.0%","Election Results for 1995 Primary Election, Alderman, Ward 17, Chicago, IL (Non-Partisan Aldermanic Election)"
"881","Harry E. Defourneau","Other Parties","7 of 9","184","2.0%","Election Results for 1995 Primary Election, Alderman, Ward 17, Chicago, IL (Non-Partisan Aldermanic Election)"
"882","Lawson J. Bogguess","Other Parties","8 of 9","70","0.8%","Election Results for 1995 Primary Election, Alderman, Ward 17, Chicago, IL (Non-Partisan Aldermanic Election)"
"883","No Candidate","Other Parties","9 of 9","0","0.0%","Election Results for 1995 Primary Election, Alderman, Ward 17, Chicago, IL (Non-Partisan Aldermanic Election)"
"884","Thomas W. Murphy","Other Parties","1 of 6","11,391","72.3%","Election Results for 1995 Primary Election, Alderman, Ward 18, Chicago, IL (Non-Partisan Aldermanic Election)"
"885","Eddie L. Mccann, Jr.","Other Parties","2 of 6","1,779","11.3%","Election Results for 1995 Primary Election, Alderman, Ward 18, Chicago, IL (Non-Partisan Aldermanic Election)"
"886","Bettye J. Neely","Other Parties","3 of 6","1,151","7.3%","Election Results for 1995 Primary Election, Alderman, Ward 18, Chicago, IL (Non-Partisan Aldermanic Election)"
"887","Joseph L. Simmons, Jr.","Other Parties","4 of 6","1,088","6.9%","Election Results for 1995 Primary Election, Alderman, Ward 18, Chicago, IL (Non-Partisan Aldermanic Election)"
"888","Sydney A. Washington","Other Parties","5 of 6","357","2.3%","Election Results for 1995 Primary Election, Alderman, Ward 18, Chicago, IL (Non-Partisan Aldermanic Election)"
"889","No Candidate","Other Parties","6 of 6","0","0.0%","Election Results for 1995 Primary Election, Alderman, Ward 18, Chicago, IL (Non-Partisan Aldermanic Election)"
"890","Virginia A. Rugai","Other Parties","1 of 1","16,583","100.0%","Election Results for 1995 Primary Election, Alderman, Ward 19, Chicago, IL (Non-Partisan Aldermanic Election)"
"891","Madeline L. Haithcock","Other Parties","1 of 7","3,102","39.0%","Election Results for 1995 Primary Election, Alderman, Ward 2, Chicago, IL (Non-Partisan Aldermanic Election)"
"892","Geraldine Laury","Other Parties","2 of 7","2,160","27.1%","Election Results for 1995 Primary Election, Alderman, Ward 2, Chicago, IL (Non-Partisan Aldermanic Election)"
"893","Willie Reynolds","Other Parties","3 of 7","1,030","12.9%","Election Results for 1995 Primary Election, Alderman, Ward 2, Chicago, IL (Non-Partisan Aldermanic Election)"
"894","Larry Strong","Other Parties","4 of 7","856","10.8%","Election Results for 1995 Primary Election, Alderman, Ward 2, Chicago, IL (Non-Partisan Aldermanic Election)"
"895","Martha H. Palmer","Other Parties","5 of 7","651","8.2%","Election Results for 1995 Primary Election, Alderman, Ward 2, Chicago, IL (Non-Partisan Aldermanic Election)"
"896","Howard Ivory","Other Parties","6 of 7","158","2.0%","Election Results for 1995 Primary Election, Alderman, Ward 2, Chicago, IL (Non-Partisan Aldermanic Election)"
"897","No Candidate","Other Parties","7 of 7","0","0.0%","Election Results for 1995 Primary Election, Alderman, Ward 2, Chicago, IL (Non-Partisan Aldermanic Election)"
"898","Arenda Troutman","Other Parties","1 of 7","4,004","53.9%","Election Results for 1995 Primary Election, Alderman, Ward 20, Chicago, IL (Non-Partisan Aldermanic Election)"
"899","Dino F. Mcneal","Democratic Party","2 of 7","1,793","24.1%","Election Results for 1995 Primary Election, Alderman, Ward 20, Chicago, IL (Non-Partisan Aldermanic Election)"
"900","Howard Mcmillan","Other Parties","3 of 7","707","9.5%","Election Results for 1995 Primary Election, Alderman, Ward 20, Chicago, IL (Non-Partisan Aldermanic Election)"
"901","Helen Y. Latimore","Other Parties","4 of 7","648","8.7%","Election Results for 1995 Primary Election, Alderman, Ward 20, Chicago, IL (Non-Partisan Aldermanic Election)"
"902","Sidney G. Shelton","Democratic Party","5 of 7","186","2.5%","Election Results for 1995 Primary Election, Alderman, Ward 20, Chicago, IL (Non-Partisan Aldermanic Election)"
"903","Orlando G. Sims","Other Parties","6 of 7","87","1.2%","Election Results for 1995 Primary Election, Alderman, Ward 20, Chicago, IL (Non-Partisan Aldermanic Election)"
"904","No Candidate","Other Parties","7 of 7","0","0.0%","Election Results for 1995 Primary Election, Alderman, Ward 20, Chicago, IL (Non-Partisan Aldermanic Election)"
"905","Jesse J. Evans","Democratic Party","1 of 7","9,149","65.3%","Election Results for 1995 Primary Election, Alderman, Ward 21, Chicago, IL (Non-Partisan Aldermanic Election)"
"906","Niles Sherman","Democratic Party","2 of 7","2,517","18.0%","Election Results for 1995 Primary Election, Alderman, Ward 21, Chicago, IL (Non-Partisan Aldermanic Election)"
"907","Calvin L. Pearce","Other Parties","3 of 7","943","6.7%","Election Results for 1995 Primary Election, Alderman, Ward 21, Chicago, IL (Non-Partisan Aldermanic Election)"
"908","Thomas E. Coleman","Democratic Party","4 of 7","670","4.8%","Election Results for 1995 Primary Election, Alderman, Ward 21, Chicago, IL (Non-Partisan Aldermanic Election)"
"909","Willie Tines","Other Parties","5 of 7","394","2.8%","Election Results for 1995 Primary Election, Alderman, Ward 21, Chicago, IL (Non-Partisan Aldermanic Election)"
"910","Myles L. Reed","Democratic Party","6 of 7","329","2.3%","Election Results for 1995 Primary Election, Alderman, Ward 21, Chicago, IL (Non-Partisan Aldermanic Election)"
"911","No Candidate","Other Parties","7 of 7","0","0.0%","Election Results for 1995 Primary Election, Alderman, Ward 21, Chicago, IL (Non-Partisan Aldermanic Election)"
